Unnamed: 0_x,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,photo,Studying,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,photo,Studying,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,photo,Studying,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,photo,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,photo,Studying,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,photo,Studying,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,photo,Studying,neutral,35
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,photo,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,photo,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,photo,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,photo,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,photo,Studying,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,photo,Studying,positive,30
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,photo,Studying,positive,75
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,photo,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,photo,Studying,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,photo,Studying,negative,15
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01,photo,Studying,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44,photo,Studying,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,photo,Studying,neutral,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42,photo,Studying,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11,photo,Studying,negative,5
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,photo,healthy eating,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50,photo,healthy eating,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,photo,healthy eating,neutral,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56,photo,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,photo,healthy eating,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,photo,healthy eating,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28,photo,healthy eating,negative,5
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,photo,healthy eating,positive,50
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,photo,healthy eating,positive,65
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,photo,healthy eating,positive,60
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,photo,healthy eating,neutral,20
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11,photo,healthy eating,neutral,35
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,photo,healthy eating,positive,65
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19,photo,healthy eating,positive,50
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,photo,healthy eating,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,photo,healthy eating,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,photo,healthy eating,positive,72
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13,photo,healthy eating,negative,15
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31,photo,healthy eating,positive,70
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34,photo,healthy eating,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:19,photo,healthy eating,positive,30
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:41,photo,healthy eating,positive,60
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 07:56:56,photo,healthy eating,positive,50
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:37,photo,healthy eating,negative,5
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 02:42:43,photo,healthy eating,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 08:38:47,photo,healthy eating,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 08:00:05,photo,healthy eating,neutral,35
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09,photo,healthy eating,positive,60
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:54,photo,healthy eating,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:07,photo,healthy eating,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:01,photo,healthy eating,negative,5
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:17,photo,healthy eating,negative,10
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:18,photo,healthy eating,negative,10
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 00:33:42,photo,healthy eating,positive,70
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:56,photo,healthy eating,positive,30
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29 19:41:49,photo,healthy eating,positive,65
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:27,photo,healthy eating,positive,60
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,photo,healthy eating,negative,0
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07 04:09:29,photo,healthy eating,positive,72
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23 21:19:27,photo,healthy eating,positive,72
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14 23:53:51,photo,healthy eating,positive,72
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12 04:54:46,photo,healthy eating,positive,30
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,2021-04-03 12:17:12,photo,technology,negative,12
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,2020-09-27 22:15:54,photo,technology,positive,70
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27 05:45:15,photo,technology,positive,60
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,2020-10-15 09:11:23,photo,technology,negative,15
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07 09:16:35,photo,technology,positive,60
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,2020-09-16 08:39:40,photo,technology,negative,5
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,2020-10-29 15:38:26,photo,technology,neutral,20
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24 18:03:26,video,food,negative,15
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-02-25 20:02:53,GIF,cooking,positive,30
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,2021-05-02 03:45:03,GIF,cooking,negative,5
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,2021-01-28 08:49:29,GIF,cooking,positive,70
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2021-02-15 13:06:04,GIF,cooking,neutral,35
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2020-11-04 21:25:52,GIF,cooking,negative,10
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,2020-06-23 22:12:03,GIF,cooking,positive,65
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-02-16 04:01:15,GIF,cooking,positive,70
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-01-03 08:44:25,GIF,cooking,positive,30
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2020-11-25 12:45:41,GIF,cooking,positive,72
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2021-05-22 21:03:24,GIF,cooking,positive,50
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-01-18 13:39:54,GIF,cooking,positive,70
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2021-01-06 00:35:24,GIF,cooking,neutral,20
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-14 14:33:17,GIF,cooking,positive,72
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,2021-05-27 15:21:54,GIF,cooking,negative,12
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-07-21 02:12:26,GIF,cooking,neutral,35
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-05-26 06:09:46,GIF,cooking,negative,10
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-02-25 03:16:57,GIF,cooking,negative,10
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,2020-12-07 22:50:16,GIF,cooking,positive,45
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-09-01 21:18:45,GIF,cooking,neutral,35
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-10 22:07:25,GIF,cooking,positive,72
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2021-02-12 16:37:36,video,dogs,positive,70
