Unnamed: 0,Content ID,Type,Datetime
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 07:54:01
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 05:28:44
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 09:27:42
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 03:59:11
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 00:11:50
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 04:53:56
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 01:00:28
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 07:59:11
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 05:56:19
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 08:48:13
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 01:27:19
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:41
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 07:56:56
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:37
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 02:42:43
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 08:38:47
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 08:00:05
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:54
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:07
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:01
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:17
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:18
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 00:33:42
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:56
